 Budget ,Reach 1+
 $-   ,0.00%
" $10,000 ",2.87%
" $20,000 ",3.74%
" $30,000 ",4.32%
" $40,000 ",4.76%
" $50,000 ",5.11%
" $60,000 ",5.40%
" $70,000 ",5.65%
" $80,000 ",5.87%
" $90,000 ",6.06%
" $100,000 ",6.23%
" $110,000 ",6.39%
" $120,000 ",6.53%
" $130,000 ",6.66%
" $140,000 ",6.78%
" $150,000 ",6.90%
" $160,000 ",7.00%
" $170,000 ",7.10%
" $180,000 ",7.19%
" $190,000 ",7.28%
" $200,000 ",7.36%
" $210,000 ",7.44%
" $220,000 ",7.51%
" $230,000 ",7.58%
" $240,000 ",7.65%
" $250,000 ",7.72%
" $260,000 ",7.78%
" $270,000 ",7.84%
" $280,000 ",7.89%
" $290,000 ",7.95%
" $300,000 ",8.00%
" $310,000 ",8.05%
" $320,000 ",8.10%
" $330,000 ",8.14%
" $340,000 ",8.19%
" $350,000 ",8.23%
" $360,000 ",8.27%
" $370,000 ",8.31%
" $380,000 ",8.35%
" $390,000 ",8.39%
" $400,000 ",8.43%
" $410,000 ",8.46%
" $420,000 ",8.50%
" $430,000 ",8.53%
" $440,000 ",8.57%
" $450,000 ",8.60%
" $460,000 ",8.63%
" $470,000 ",8.66%
" $480,000 ",8.69%
" $490,000 ",8.72%
" $500,000 ",8.75%
" $510,000 ",8.78%
" $520,000 ",8.80%
" $530,000 ",8.83%
" $540,000 ",8.86%
" $550,000 ",8.88%
" $560,000 ",8.91%
" $570,000 ",8.93%
" $580,000 ",8.95%
" $590,000 ",8.98%
" $600,000 ",9.00%
" $610,000 ",9.02%
" $620,000 ",9.04%
" $630,000 ",9.06%
" $640,000 ",9.09%
" $650,000 ",9.11%
" $660,000 ",9.13%
" $670,000 ",9.15%
" $680,000 ",9.17%
" $690,000 ",9.18%
" $700,000 ",9.20%
" $710,000 ",9.22%
" $720,000 ",9.24%
" $730,000 ",9.26%
" $740,000 ",9.28%
" $750,000 ",9.29%
" $760,000 ",9.31%
" $770,000 ",9.33%
" $780,000 ",9.34%
" $790,000 ",9.36%
" $800,000 ",9.37%
" $810,000 ",9.39%
" $820,000 ",9.41%
" $830,000 ",9.42%
" $840,000 ",9.44%
" $850,000 ",9.45%
" $860,000 ",9.47%
" $870,000 ",9.48%
" $880,000 ",9.49%
" $890,000 ",9.51%
" $900,000 ",9.52%
" $910,000 ",9.53%
" $920,000 ",9.55%
" $930,000 ",9.56%
" $940,000 ",9.57%
" $950,000 ",9.59%
" $960,000 ",9.60%
" $970,000 ",9.61%
" $980,000 ",9.62%
" $990,000 ",9.64%
" $1,000,000 ",9.65%