base_key,combo_key,demo,content_line_up_1,content_line_up_2,budget_set,base_reach,combined_reach,base_cpm,combined_cpm,cpm_change
P18+General Entertainment ,P18+General Entertainment Travel & Adventure ,P18+,General Entertainment ,Travel & Adventure ,500000,0.32,0.319,17.28,17.18,-0.005787037
P18+General Entertainment ,P18+General Entertainment Motion & Motors ,P18+,General Entertainment ,Motion & Motors ,500000,0.32,0.328,17.28,17.2,-0.00462963
P18+General Entertainment ,P18+General Entertainment Gaming Culture,P18+,General Entertainment ,Gaming Culture,500000,0.32,0.33,17.28,15.11,-0.125578704
P18+General Entertainment ,P18+General Entertainment Sport,P18+,General Entertainment ,Sport,500000,0.32,0.33,17.28,16.5,-0.045138889
P18+Travel & Adventure ,P18+Travel & Adventure Motion & Motors ,P18+,Travel & Adventure ,Motion & Motors ,500000,0.313,0.305,20.44,21.57,0.055283757
P18+Travel & Adventure ,P18+Travel & Adventure Gaming Culture,P18+,Travel & Adventure ,Gaming Culture,500000,0.313,0.272,20.44,18.84,-0.078277886
P18+Travel & Adventure ,P18+Travel & Adventure Sport,P18+,Travel & Adventure ,Sport,500000,0.313,0.277,20.44,19.93,-0.024951076
P18+Travel & Adventure ,P18+Travel & Adventure General Entertainment ,P18+,Travel & Adventure ,General Entertainment ,500000,0.313,0.319,20.44,17.18,-0.159491194
P18+Motion & Motors ,P18+Motion & Motors Travel & Adventure ,P18+,Motion & Motors ,Travel & Adventure ,500000,0.303,0.305,21.24,21.57,0.015536723
P18+Motion & Motors ,P18+Motion & Motors Gaming Culture,P18+,Motion & Motors ,Gaming Culture,500000,0.303,0.271,21.24,18.66,-0.121468927
P18+Motion & Motors ,P18+Motion & Motors Sport,P18+,Motion & Motors ,Sport,500000,0.303,0.285,21.24,19.01,-0.104990584
P18+Motion & Motors ,P18+Motion & Motors General Entertainment ,P18+,Motion & Motors ,General Entertainment ,500000,0.303,0.328,21.24,17.2,-0.190207156
P18+Gaming Culture,P18+Gaming CultureTravel & Adventure ,P18+,Gaming Culture,Travel & Adventure ,500000,0.259,0.272,19.72,18.84,-0.044624746
P18+Gaming Culture,P18+Gaming CultureMotion & Motors ,P18+,Gaming Culture,Motion & Motors ,500000,0.259,0.271,19.72,18.66,-0.053752535
P18+Gaming Culture,P18+Gaming CultureSport,P18+,Gaming Culture,Sport,500000,0.259,0.281,19.72,17.65,-0.104969574
P18+Gaming Culture,P18+Gaming CultureGeneral Entertainment ,P18+,Gaming Culture,General Entertainment ,500000,0.259,0.33,19.72,15.11,-0.233772819
P18+Sport,P18+SportTravel & Adventure ,P18+,Sport,Travel & Adventure ,500000,0.253,0.277,22.58,19.93,-0.117360496
P18+Sport,P18+SportMotion & Motors ,P18+,Sport,Motion & Motors ,500000,0.253,0.285,22.58,19.01,-0.158104517
P18+Sport,P18+SportGaming Culture,P18+,Sport,Gaming Culture,500000,0.253,0.281,22.58,17.65,-0.21833481
P18+Sport,P18+SportGeneral Entertainment ,P18+,Sport,General Entertainment ,500000,0.253,0.33,22.58,16.5,-0.269264836
P18-64General Entertainment ,P18-64General Entertainment Travel & Adventure ,P18-64,General Entertainment ,Travel & Adventure ,500000,0.352,0.353,19.19,18.84,-0.018238666
P18-64General Entertainment ,P18-64General Entertainment Motion & Motors ,P18-64,General Entertainment ,Motion & Motors ,500000,0.352,0.363,19.19,18.83,-0.018759771
P18-64General Entertainment ,P18-64General Entertainment Gaming Culture,P18-64,General Entertainment ,Gaming Culture,500000,0.352,0.343,19.19,17.93,-0.065659197
P18-64General Entertainment ,P18-64General Entertainment Sport,P18-64,General Entertainment ,Sport,500000,0.352,0.35,19.19,18.8,-0.020323085
P18-64Travel & Adventure ,P18-64Travel & Adventure Motion & Motors ,P18-64,Travel & Adventure ,Motion & Motors ,500000,0.336,0.323,26.82,25.33,-0.055555556
P18-64Travel & Adventure ,P18-64Travel & Adventure Gaming Culture,P18-64,Travel & Adventure ,Gaming Culture,500000,0.336,0.3,26.82,19.98,-0.255033557
P18-64Travel & Adventure ,P18-64Travel & Adventure Sport,P18-64,Travel & Adventure ,Sport,500000,0.336,0.302,26.82,22.15,-0.174123788
P18-64Travel & Adventure ,P18-64Travel & Adventure General Entertainment ,P18-64,Travel & Adventure ,General Entertainment ,500000,0.336,0.353,26.82,18.84,-0.29753915
P18-64Motion & Motors ,P18-64Motion & Motors Travel & Adventure ,P18-64,Motion & Motors ,Travel & Adventure ,500000,0.324,0.324,27.35,25.33,-0.073857404
P18-64Motion & Motors ,P18-64Motion & Motors Gaming Culture,P18-64,Motion & Motors ,Gaming Culture,500000,0.324,0.305,27.35,20.36,-0.255575868
P18-64Motion & Motors ,P18-64Motion & Motors Sport,P18-64,Motion & Motors ,Sport,500000,0.324,0.3,27.35,22.49,-0.177696527
P18-64Motion & Motors ,P18-64Motion & Motors General Entertainment ,P18-64,Motion & Motors ,General Entertainment ,500000,0.324,0.363,27.35,18.83,-0.311517367
P18-64Gaming Culture,P18-64Gaming CultureTravel & Adventure ,P18-64,Gaming Culture,Travel & Adventure ,500000,0.285,0.3,22.1,19.98,-0.095927602
P18-64Gaming Culture,P18-64Gaming CultureMotion & Motors ,P18-64,Gaming Culture,Motion & Motors ,500000,0.285,0.305,22.1,20.36,-0.078733032
P18-64Gaming Culture,P18-64Gaming CultureSport,P18-64,Gaming Culture,Sport,500000,0.285,0.313,22.1,19.21,-0.130769231
P18-64Gaming Culture,P18-64Gaming CultureGeneral Entertainment ,P18-64,Gaming Culture,General Entertainment ,500000,0.285,0.343,22.1,17.93,-0.188687783
P18-64Sport,P18-64SportTravel & Adventure ,P18-64,Sport,Travel & Adventure ,500000,0.283,0.302,25.33,22.15,-0.125542835
P18-64Sport,P18-64SportMotion & Motors ,P18-64,Sport,Motion & Motors ,500000,0.283,0.3,25.33,22.49,-0.112120016
P18-64Sport,P18-64SportGaming Culture,P18-64,Sport,Gaming Culture,500000,0.283,0.313,25.33,19.21,-0.241610738
P18-64Sport,P18-64SportGeneral Entertainment ,P18-64,Sport,General Entertainment ,500000,0.283,0.35,25.33,18.8,-0.257797079
P18-44General Entertainment ,P18-44General Entertainment Travel & Adventure ,P18-44,General Entertainment ,Travel & Adventure ,500000,0.416,0.427,23.11,22.88,-0.009952402
P18-44General Entertainment ,P18-44General Entertainment Motion & Motors ,P18-44,General Entertainment ,Motion & Motors ,500000,0.416,0.421,23.11,22.78,-0.014279533
P18-44General Entertainment ,P18-44General Entertainment Gaming Culture,P18-44,General Entertainment ,Gaming Culture,500000,0.416,0.404,23.11,21.64,-0.063608827
P18-44General Entertainment ,P18-44General Entertainment Sport,P18-44,General Entertainment ,Sport,500000,0.416,0.422,23.11,21.77,-0.057983557
P18-44Travel & Adventure ,P18-44Travel & Adventure Motion & Motors ,P18-44,Travel & Adventure ,Motion & Motors ,500000,0.354,0.379,35.63,32.29,-0.093741229
P18-44Travel & Adventure ,P18-44Travel & Adventure Gaming Culture,P18-44,Travel & Adventure ,Gaming Culture,500000,0.354,0.359,35.63,25.19,-0.293011507
P18-44Travel & Adventure ,P18-44Travel & Adventure Sport,P18-44,Travel & Adventure ,Sport,500000,0.354,0.378,35.63,28.89,-0.189166433
P18-44Travel & Adventure ,P18-44Travel & Adventure General Entertainment ,P18-44,Travel & Adventure ,General Entertainment ,500000,0.354,0.427,35.63,22.88,-0.357844513
P18-44Motion & Motors ,P18-44Motion & Motors Travel & Adventure ,P18-44,Motion & Motors ,Travel & Adventure ,500000,0.345,0.379,35.99,32.29,-0.102806335
P18-44Motion & Motors ,P18-44Motion & Motors Gaming Culture,P18-44,Motion & Motors ,Gaming Culture,500000,0.345,0.352,35.99,25.89,-0.280633509
P18-44Motion & Motors ,P18-44Motion & Motors Sport,P18-44,Motion & Motors ,Sport,500000,0.345,0.357,35.99,29.85,-0.170602945
P18-44Motion & Motors ,P18-44Motion & Motors General Entertainment ,P18-44,Motion & Motors ,General Entertainment ,500000,0.345,0.421,35.99,22.78,-0.367046402
P18-44Gaming Culture,P18-44Gaming CultureTravel & Adventure ,P18-44,Gaming Culture,Travel & Adventure ,500000,0.445,0.359,26.49,25.19,-0.049075123
P18-44Gaming Culture,P18-44Gaming CultureMotion & Motors ,P18-44,Gaming Culture,Motion & Motors ,500000,0.445,0.379,26.49,25.89,-0.022650057
P18-44Gaming Culture,P18-44Gaming CultureSport,P18-44,Gaming Culture,Sport,500000,0.445,0.38,26.49,23.12,-0.127217818
P18-44Gaming Culture,P18-44Gaming CultureGeneral Entertainment ,P18-44,Gaming Culture,General Entertainment ,500000,0.445,0.404,26.49,21.64,-0.183087958
P18-44Sport,P18-44SportTravel & Adventure ,P18-44,Sport,Travel & Adventure ,500000,0.362,0.378,30.81,28.89,-0.062317429
P18-44Sport,P18-44SportMotion & Motors ,P18-44,Sport,Motion & Motors ,500000,0.362,0.357,30.81,29.85,-0.031158715
P18-44Sport,P18-44SportGaming Culture,P18-44,Sport,Gaming Culture,500000,0.362,0.38,30.81,23.12,-0.249594288
P18-44Sport,P18-44SportGeneral Entertainment ,P18-44,Sport,General Entertainment ,500000,0.362,0.422,30.81,21.77,-0.29341123
P25-54General Entertainment ,P25-54General Entertainment Travel & Adventure ,P25-54,General Entertainment ,Travel & Adventure ,500000,0.402,0.403,23.68,23.29,-0.016469595
P25-54General Entertainment ,P25-54General Entertainment Motion & Motors ,P25-54,General Entertainment ,Motion & Motors ,500000,0.402,0.402,23.68,22.95,-0.030827703
P25-54General Entertainment ,P25-54General Entertainment Gaming Culture,P25-54,General Entertainment ,Gaming Culture,500000,0.402,0.386,23.68,22.22,-0.061655405
P25-54General Entertainment ,P25-54General Entertainment Sport,P25-54,General Entertainment ,Sport,500000,0.402,0.398,23.68,21.87,-0.076435811
P25-54Travel & Adventure ,P25-54Travel & Adventure Motion & Motors ,P25-54,Travel & Adventure ,Motion & Motors ,500000,0.363,0.383,35.12,31.29,-0.10905467
P25-54Travel & Adventure ,P25-54Travel & Adventure Gaming Culture,P25-54,Travel & Adventure ,Gaming Culture,500000,0.363,0.356,35.12,26.15,-0.255410023
P25-54Travel & Adventure ,P25-54Travel & Adventure Sport,P25-54,Travel & Adventure ,Sport,500000,0.363,0.357,35.12,28.44,-0.190205011
P25-54Travel & Adventure ,P25-54Travel & Adventure General Entertainment ,P25-54,Travel & Adventure ,General Entertainment ,500000,0.363,0.403,35.12,23.29,-0.336845103
P25-54Motion & Motors ,P25-54Motion & Motors Travel & Adventure ,P25-54,Motion & Motors ,Travel & Adventure ,500000,0.353,0.383,34.84,31.29,-0.101894374
P25-54Motion & Motors ,P25-54Motion & Motors Gaming Culture,P25-54,Motion & Motors ,Gaming Culture,500000,0.353,0.343,34.84,26.64,-0.235361653
P25-54Motion & Motors ,P25-54Motion & Motors Sport,P25-54,Motion & Motors ,Sport,500000,0.353,0.337,34.84,29.03,-0.166762342
P25-54Motion & Motors ,P25-54Motion & Motors General Entertainment ,P25-54,Motion & Motors ,General Entertainment ,500000,0.353,0.402,34.84,22.95,-0.341274397
P25-54Gaming Culture,P25-54Gaming CultureTravel & Adventure ,P25-54,Gaming Culture,Travel & Adventure ,500000,0.44,0.356,27.73,26.15,-0.056978002
P25-54Gaming Culture,P25-54Gaming CultureMotion & Motors ,P25-54,Gaming Culture,Motion & Motors ,500000,0.44,0.343,27.73,26.64,-0.039307609
P25-54Gaming Culture,P25-54Gaming CultureSport,P25-54,Gaming Culture,Sport,500000,0.44,0.362,27.73,23.82,-0.141002524
P25-54Gaming Culture,P25-54Gaming CultureGeneral Entertainment ,P25-54,Gaming Culture,General Entertainment ,500000,0.44,0.386,27.73,22.22,-0.198701767
P25-54Sport,P25-54SportTravel & Adventure ,P25-54,Sport,Travel & Adventure ,500000,0.358,0.357,30.4,28.44,-0.064473684
P25-54Sport,P25-54SportMotion & Motors ,P25-54,Sport,Motion & Motors ,500000,0.358,0.337,30.4,29.03,-0.045065789
P25-54Sport,P25-54SportGaming Culture,P25-54,Sport,Gaming Culture,500000,0.358,0.362,30.4,23.82,-0.216447368
P25-54Sport,P25-54SportGeneral Entertainment ,P25-54,Sport,General Entertainment ,500000,0.358,0.398,30.4,21.87,-0.280592105
